opportunity_id,deal_stage,pipeline_status,engage_date,close_date,close_value,sales_agent,manager,regional_office,product,series,sales_price,account,sector,account_revenue,employees,office_location,won_flag,lost_flag,open_flag,sales_cycle_days,engage_year,engage_quarter,close_year,close_quarter
1C1I7A6R,Won,Won,2016-10-20,2017-03-01,1054.0,Moses Frase,Dustin Brinkmann,Central,GTX Plus Basic,GTX,1096,Cancity,retail,718.62,2448.0,United States,1,0,0,132.0,2016.0,2016Q4,2017.0,2017Q1
Z063OYW0,Won,Won,2016-10-25,2017-03-11,4514.0,Darcel Schlecht,Melvin Marxen,Central,GTX Pro,GTX,4821,Isdom,medical,3178.24,4540.0,United States,1,0,0,137.0,2016.0,2016Q4,2017.0,2017Q1
EC4QE1BX,Won,Won,2016-10-25,2017-03-07,50.0,Darcel Schlecht,Melvin Marxen,Central,MG Special,MG,55,Cancity,retail,718.62,2448.0,United States,1,0,0,133.0,2016.0,2016Q4,2017.0,2017Q1
MV1LWRNH,Won,Won,2016-10-25,2017-03-09,588.0,Moses Frase,Dustin Brinkmann,Central,GTX Basic,GTX,550,Codehow,software,2714.9,2641.0,United States,1,0,0,135.0,2016.0,2016Q4,2017.0,2017Q1
PE84CX4O,Won,Won,2016-10-25,2017-03-02,517.0,Zane Levy,Summer Sewald,West,GTX Basic,GTX,550,Hatfan,services,792.46,1299.0,United States,1,0,0,128.0,2016.0,2016Q4,2017.0,2017Q1
ZNBS69V1,Won,Won,2016-10-29,2017-03-01,49.0,Anna Snelling,Dustin Brinkmann,Central,MG Special,MG,55,Ron-tech,medical,3922.42,6837.0,United States,1,0,0,123.0,2016.0,2016Q4,2017.0,2017Q1
9ME3374G,Won,Won,2016-10-30,2017-03-02,57.0,Vicki Laflamme,Celia Rouche,West,MG Special,MG,55,J-Texon,retail,1388.67,3583.0,United States,1,0,0,123.0,2016.0,2016Q4,2017.0,2017Q1
7GN8Q4LL,Won,Won,2016-11-01,2017-03-07,601.0,Markita Hansen,Celia Rouche,West,GTX Basic,GTX,550,Cheers,entertainment,4269.9,6472.0,United States,1,0,0,126.0,2016.0,2016Q4,2017.0,2017Q1
OLK9LKZB,Won,Won,2016-11-01,2017-03-03,1026.0,Niesha Huffines,Melvin Marxen,Central,GTX Plus Basic,GTX,1096,Zumgoity,medical,441.08,1210.0,United States,1,0,0,122.0,2016.0,2016Q4,2017.0,2017Q1
HAXMC4IX,Engaging,Open,2016-11-03,,,James Ascencio,Summer Sewald,West,MG Advanced,MG,3393,,,,,,0,0,1,,2016.0,2016Q4,,
